"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
0.20,1.83,-0.49,-0.01
0.30,1.79,-0.49,-0.04
0.40,1.74,-0.50,-0.05
0.50,1.69,-0.50,-0.02
0.60,1.63,-0.50,0.01
0.70,1.58,-0.50,0.02
0.80,1.54,-0.50,0.01
0.90,1.49,-0.50,0.00
1.00,1.44,-0.50,0.00
1.10,1.39,-0.50,0.02
1.20,1.33,-0.49,0.02
1.30,1.29,-0.49,-0.01
1.40,1.24,-0.50,-0.03
1.50,1.19,-0.50,-0.03
1.60,1.14,-0.50,-0.02
1.70,1.09,-0.50,-0.01
1.80,1.04,-0.50,0.02
1.90,0.99,-0.50,0.05
2.00,0.94,-0.49,0.08
2.10,0.89,-0.48,0.08
2.20,0.84,-0.48,0.07
2.30,0.79,-0.47,0.06
2.40,0.75,-0.47,0.05
2.50,0.70,-0.46,0.05
2.60,0.65,-0.45,0.06
2.70,0.61,-0.45,0.06
2.80,0.56,-0.44,0.06
2.90,0.52,-0.44,0.07
3.00,0.48,-0.43,0.07
3.10,0.43,-0.42,0.08
3.20,0.39,-0.42,0.10
3.30,0.35,-0.40,0.11
3.40,0.31,-0.39,0.19
3.50,0.27,-0.38,0.58
3.60,0.24,-0.32,1.30
3.70,0.19,-0.13,1.90
3.80,0.20,0.13,1.84
3.90,0.24,0.31,1.16
4.00,0.27,0.35,0.44
4.10,0.30,0.35,0.10
4.20,0.34,0.35,0.04
4.30,0.38,0.36,0.04
4.40,0.41,0.36,0.01
4.50,0.45,0.36,0.00
4.60,0.48,0.36,0.00
4.70,0.52,0.36,0.00
4.80,0.56,0.36,0.00
4.90,0.59,0.36,0.00
5.00,0.63,0.36,0.00
5.10,0.67,0.36,-0.01
5.20,0.70,0.36,-0.01
5.30,0.74,0.36,-0.01
5.40,0.77,0.36,3.09E-4
5.50,0.81,0.36,0.01
5.60,0.85,0.36,0.01
5.70,0.88,0.36,0.01
5.80,0.92,0.36,0.01
5.90,0.96,0.37,0.02
6.00,0.99,0.37,0.01
6.10,1.03,0.37,0.00
6.20,1.07,0.37,-0.01
6.30,1.10,0.36,-0.01
6.40,1.14,0.36,-7.77E-4
6.50,1.17,0.36,0.01
6.60,1.21,0.37,0.01
6.70,1.25,0.37,0.00
6.80,1.29,0.36,-0.01
6.90,1.32,0.36,0.02
7.00,1.36,0.37,0.04
7.10,1.39,0.37,0.04
7.20,1.43,0.38,0.02
7.30,1.47,0.38,0.01
7.40,1.51,0.38,0.00
7.50,1.54,0.38,0.00
7.60,1.58,0.38,-0.02
7.70,1.62,0.37,-0.04
7.80,1.66,0.37,-0.06
7.90,1.69,0.36,-0.07
8.00,1.73,0.35,-0.07
8.10,1.76,0.35,-0.07
8.20,1.80,0.34,-0.07
8.30,1.83,0.33,-0.07
8.40,1.87,0.33,-0.09
8.50,1.90,0.32,-0.26
8.60,1.93,0.30,-0.72
8.70,1.96,0.20,-1.31
