"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
0.00,8.39,,
0.10,8.25,-10.90,
0.20,6.21,-2.78,54.97
0.30,7.31,0.09,30.78
0.40,7.66,3.44,6.74
0.50,6.85,1.34,-8.96
0.60,8.73,0.01,-14.74
0.70,7.05,-1.85,-5.14
0.80,7.48,-2.21,4.71
0.90,6.99,0.48,7.94
1.00,7.46,0.51,3.11
1.10,7.35,0.19,-2.22
1.20,7.42,-0.05,-0.90
1.30,7.15,-0.29,1.44
1.40,7.63,0.45,3.43
1.50,6.97,0.55,5.19
1.60,7.87,1.16,4.37
1.70,7.23,2.11,2.02
1.80,8.06,1.51,-5.23
1.90,8.05,1.41,-8.71
2.00,7.97,-1.27,-4.01
2.10,8.17,-0.33,2.78
2.20,7.17,0.85,2.40
2.30,8.65,0.96,-5.10
2.40,8.01,-1.12,-4.63
2.50,7.92,-1.42,-0.06
2.60,7.23,0.46,-1.30
2.70,8.57,-0.65,-6.49
2.80,7.63,-2.67,0.34
2.90,7.13,-2.19,13.28
3.00,7.06,2.20,11.87
3.10,7.82,2.45,-3.69
3.20,8.25,-0.19,-10.35
3.30,7.41,-2.02,
3.40,7.36,0.45,
3.50,7.50,,
