"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
0.00,0.42,,
0.10,0.49,0.68,
0.20,0.56,0.69,0.02
0.30,0.63,0.69,0.00
0.40,0.70,0.69,-7.51E-4
0.50,0.76,0.69,0.01
0.60,0.83,0.69,0.03
0.70,0.90,0.69,0.03
0.80,0.97,0.70,0.01
0.90,1.04,0.70,-0.02
1.00,1.11,0.69,-0.05
1.10,1.18,0.68,-0.06
1.20,1.25,0.68,-0.04
1.30,1.31,0.67,-0.01
1.40,1.38,0.68,0.00
1.50,1.45,0.68,-0.02
1.60,1.52,0.67,-0.06
1.70,1.58,0.66,-0.10
1.80,1.65,0.65,-0.18
1.90,1.71,0.63,
2.00,1.78,0.60,
2.10,1.83,,
