"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.922,,
0.050,1.881,-0.77,
0.100,1.845,-0.70,1.1
0.150,1.814,-0.67,0.5
0.200,1.779,-0.66,0.2
0.250,1.746,-0.66,0.3
0.300,1.714,-0.64,0.3
0.350,1.682,-0.62,0.3
0.400,1.652,-0.61,0.3
0.450,1.622,-0.59,0.3
0.500,1.591,-0.57,0.4
0.550,1.566,-0.55,0.4
0.600,1.537,-0.54,0.4
0.650,1.511,-0.52,0.4
0.700,1.485,-0.49,0.4
0.750,1.462,-0.48,0.3
0.800,1.439,-0.46,0.2
0.850,1.414,-0.44,0.1
0.900,1.395,-0.45,0.2
0.950,1.373,-0.45,0.6
1.000,1.345,-0.40,1.0
1.050,1.330,-0.32,0.9
1.100,1.317,-0.28,0.5
1.150,1.304,-0.29,0.0
1.200,1.288,-0.29,0.0
1.250,1.273,-0.30,0.2
1.300,1.259,-0.28,0.4
1.350,1.243,-0.25,0.4
1.400,1.234,-0.23,0.2
1.450,1.223,-0.24,0.2
1.500,1.211,-0.24,0.3
1.550,1.194,-0.20,0.6
1.600,1.193,-0.17,0.6
1.650,1.183,-0.14,0.4
1.700,1.171,-0.11,0.2
1.750,1.173,-0.12,0.1
1.800,1.168,-0.12,0.3
1.850,1.150,-0.10,0.6
1.900,1.159,-0.04,0.5
1.950,1.153,-0.02,0.3
2.000,1.155,-0.04,0.3
2.050,1.148,-0.01,0.7
2.100,1.150,0.05,0.8
2.150,1.155,0.09,0.6
2.200,1.163,0.10,0.3
2.250,1.162,0.12,0.1
2.300,1.174,0.11,0.1
2.350,1.180,0.12,0.3
2.400,1.180,0.14,0.4
2.450,1.193,0.17,0.4
2.500,1.202,0.19,0.4
2.550,1.208,0.19,0.3
2.600,1.221,0.22,0.4
2.650,1.232,0.24,0.3
2.700,1.244,0.25,0.3
2.750,1.257,0.27,0.3
2.800,1.270,0.28,0.3
2.850,1.286,0.29,0.3
2.900,1.300,0.31,0.4
2.950,1.316,0.33,0.4
3.000,1.333,0.36,0.4
3.050,1.352,0.37,0.5
3.100,1.371,0.40,0.6
3.150,1.388,0.44,0.6
3.200,1.416,0.46,0.4
3.250,1.439,0.47,0.4
3.300,1.459,0.48,0.5
3.350,1.486,0.52,0.4
3.400,1.514,0.54,0.2
3.450,1.540,0.53,0.2
3.500,1.568,0.54,0.3
3.550,1.593,0.57,0.4
3.600,1.624,0.59,0.3
3.650,1.654,0.62,0.1
3.700,1.685,0.59,0.1
3.750,1.717,0.59,0.4
3.800,1.737,0.64,0.8
3.850,1.781,0.69,0.5
3.900,1.813,0.71,-0.1
3.950,1.848,0.67,
4.000,1.884,0.62,
4.050,1.910,,
