"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.836,,
0.050,1.810,-0.52,
0.100,1.785,-0.51,0.0
0.150,1.759,-0.51,0.0
0.200,1.734,-0.51,0.0
0.250,1.708,-0.51,0.0
0.300,1.682,-0.52,0.0
0.350,1.656,-0.52,0.0
0.400,1.631,-0.51,7.3E-4
0.450,1.605,-0.51,0.0
0.500,1.579,-0.52,0.0
0.550,1.554,-0.52,0.0
0.600,1.528,-0.52,0.0
0.650,1.502,-0.51,0.0
0.700,1.476,-0.51,0.0
0.750,1.451,-0.52,0.0
0.800,1.425,-0.52,0.0
0.850,1.399,-0.52,0.0
0.900,1.373,-0.52,0.0
0.950,1.347,-0.52,0.0
1.000,1.321,-0.52,0.0
1.050,1.295,-0.52,0.0
1.100,1.269,-0.52,0.0
1.150,1.243,-0.52,0.0
1.200,1.217,-0.52,0.0
1.250,1.190,-0.52,0.0
1.300,1.164,-0.52,0.0
1.350,1.138,-0.52,0.0
1.400,1.112,-0.52,0.0
1.450,1.086,-0.52,0.0
1.500,1.060,-0.52,0.0
1.550,1.034,-0.52,0.0
1.600,1.008,-0.52,0.0
1.650,0.982,-0.52,0.0
1.700,0.956,-0.51,0.0
1.750,0.931,-0.51,0.0
1.800,0.905,-0.51,0.0
1.850,0.880,-0.51,0.0
1.900,0.855,-0.50,0.1
1.950,0.829,-0.50,0.1
2.000,0.804,-0.50,0.1
2.050,0.780,-0.50,0.0
2.100,0.755,-0.49,0.0
2.150,0.730,-0.49,0.0
2.200,0.706,-0.49,0.0
2.250,0.681,-0.49,0.0
2.300,0.657,-0.49,0.0
2.350,0.633,-0.48,0.1
2.400,0.609,-0.48,0.1
2.450,0.585,-0.48,0.1
2.500,0.561,-0.47,0.1
2.550,0.537,-0.47,0.1
2.600,0.514,-0.47,0.1
2.650,0.490,-0.46,0.1
2.700,0.467,-0.46,0.1
2.750,0.444,-0.46,0.1
2.800,0.422,-0.45,0.1
2.850,0.399,-0.45,0.1
2.900,0.377,-0.44,
2.950,0.355,-0.44,
3.000,0.333,,
